Country,Capital,Currency,Official lang,HOG,Population,Flags
"Congo,
Democratic Republic of the",Kinshasa,Congolese franc,French,Prime Minister –Sylvestre Ilunga,########,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/democratic_republic_of_the_congo.gif
Costa Rica,San Jose,Colón,Spanish,President – Carlos Alvarado Quesada,5084636,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/costa_rica.gif
Cote d'Ivoire,"Yamoussoukro
(official); Abidjan (de facto)",CFA Franc,French,President - Alassane Ouattara,26323384,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/cote_d_Ivoire.gif
Croatia,Zagreb,Croatian,Kuna,Prime Minister – Andrej Plenkovi?,4110214,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/croatia.gif
Cuba,Havana,Cuban Peso,Spanish,Prime Minister-Miguel Diaz-Canel,11327988,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/cuba.gif
Cyprus,Nicosia,Euro,Greek; Turkish,President – Nicos Anastasiades,1205577,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/cyprus.gif
Czech Republic,Prague,Koruna,Czech; Slovak,Prime Minister – Andrej Babiš,-1,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/czech_republic.gif 
Denmark,Copenhagen,Danish Krone,Danish,Prime Minister – Mette Frederiksen,5788108,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/denmark.gif
Djibouti,Djibouti,Djiboutian franc,Arabic; French,"Prime Minister –
Abdoulkader Kamil Mohamed",985027,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/djibouti.gif
Dominica,Roseau,East Caribbean dollar,English; French; Antillean Creole,Prime Minister – Roosevelt Skerrit,71950,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/dominica.gif
Dominican Republic,Santo Domingo,Dominican Peso,Spanish,President – Danilo Medina,10825682,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/dominican_republic.gif
East Timor (Timor-Leste),Dili,U.S. dollar,Tetum; Portuguese; Iindonesian,Prime Minister – Taur Matan Ruak,1183643,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/east_timor.gif
Ecuador,Quito,U.S. dollar,Spanish,President – Lenín Moreno,17587526,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/ecuador.gif
Egypt,Cairo,Egyptian pound,Arabic,Prime Minister – Moustafa Madbouly,1.02E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/egypt.gif
El Salvador,San Salvador,Colón; U.S. dollar,Spanish,President – Nayib Bukele,6479609,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/el_salvador.gif
